Gondi Sentence	Telugu Translation
కొత్తంగ్ ఆయి సోనె, ఉండె బతయ్‌గిర్ కల్తెకే కల్లె ఇంతెర్.	డబ్బులు కాని బంగారం ఇతర వస్తువులను దొంగిలిస్తే దొంగ అంటారు.
కల్లె కామ్ బస్కెన్ కియ్వ.	అక్రమ వ్యాపారం ఎప్పుడు చెయ్యవద్దు.
చుట్ట ఆకినంగ్ కొత్తంగ్ సియ్వన్ కల్లెదారల్ ఇంతెర్.	బీడీ ఆకుల డబ్బులు ఇచ్చేవారిని గుత్తెదారు అంటారు.
మాందితగ వరొన్క్‌వరొర్ బేటెమాయ్వడున్ కలివల్ ఇంతెర్.	జనంలో ఒకరినొకరు హత్తుకోవడం జరుగుతుంది.
కవ్డి లీమ్ మర్ర మందంత.	వేప చెట్టు ఉంటుంది.
నాయ్‌చల్ బయ్ కవ్వుసీంతొర్.	నటులు బాగా నవ్విస్తారు.
బస్కెగిర్ కవ్సెర్ మందన.	ఎప్పుడైనా నవ్వుతూ ఉండాలి.
జాకెస్ బయ్ కవుసంతొర్.	జాకేష్ బాగా నవ్విస్తాడు.
కోందన్ పోరత్ సవ్రి కీనెకె (సజ్జి కీనెకె) గోటిద్గాకసాటింగ్ దొహంతెర్.	ఎడ్ల మెడల్లో గంటలు పొలాల పండుగ రోజు కడతారు.
తరస్క్ పాలనగ మత్తెకె కసబిస కీంతంగ్.	పాములు ఆకులలో ఉంటే చప్పుడు చేస్తాయి.
వావ్టె సొన్నెకె కసండితె యేర్ వోంతెర్.	చేనుకు వెల్లేటప్పుడు చిన్న బిందెతో నీరు తీసుకు వెళతారు.
వత్తంగ్ సారింగ్ తిన్నెకె వెంజెడున్ కస్కంతెర్.	ఎండిపోయిన రొట్టెలు తినేటప్పుడు నాలుకను కొరుకుతారు.
నెయ్ నాకున్ కస్క్‌లె వాంత.	కుక్క నన్ను కరవడానికి వస్తుంది.
కస్సతగ మీన్క్, కేక్డెంగ్, బొట్టెంగ్ పన్నెంగ్ మందంతంగ్.	లోతైన మడుగులో చేపలు, ఎండ్రకాయలు, కప్పలు ఉంటాయి.
కుహితగ కసుంనె డెహ్క్‌తొర్.	బావిలో కి నిటారుగా దుకాడు.
నీవ కసుర్ బతల్ మంత.	నీ తప్పు ఏమి ఉంది.
మరక కాయన్ కహ బాటొ.	మామిడి కాయలను ఎంచు బావా.
హబర్ తగ కహపర్వక్ సుక్కుక్ మంతంగ్.	ఆకాశంలో లెక్కించ లేని చుక్కలు ఉన్నాయి.
పోర మహ్నవాతెకె బయ్ కహ రుహ మందంత.	భాద్రపద మాసంలో ఎక్కువగా అనారోగ్యంతో ఉంటారు.
నిమ్మె అవ్ వంజింగ్ కహ్మ.	నీవు ఆ వడ్లను లెక్కించకు.
జొన్నంగ్ అడ్డెతె కహ్వ;ల్ కీంతెర్.	జొన్నలు మానికతో కొలుస్తారు.
కహ్వెర్ జులుకున్ జులుకున్ తింతొర్.	తిండి పోతు కొద్ది సేపటికే తింటు ఉంటాడు.
బూతిత్ సొత్తెకె కొత్తంగ్ సీతపజ్జె కహంతెర్.	కూలికి వెళితే డబ్బులు ఇచ్చిన తరువాత లెక్క పెడతారు.
కహిసాల్క్‌నె మయడ్ కియ్వల్ కరితొర్.	కొద్దికాలం పాటు మాయాజాలం నేర్చుకున్నాడు.
బేమరితె మత్తొర్ వోర్ మాయ్నన్ క్యాల్ మన్నొ.	అనారోగ్యంలో ఉన్న వ్యక్తికి జ్ఞాపకం ఉండదు.
జగ్ నగ క్రిచన్క్ వెల్లె ఆసెర్ మంతెర్.	ప్రపంచంలో క్రైస్తవులు ఎక్కువ అవుతున్నారు.
క్రుసి మర్రత సేర్ జువ్వ కీంతెర్.	ఈ చెట్టుతో అరక కాడి చేస్తారు.
కాకడ్ కావ్ కావ్ ఇంజెర్ ఆడంత.	కాకి కావ్ కావ్ అని అరుస్తుంది.
కాకడ్ బోరి ఇన్వల్ ఉంది మీన్ దా పొరొల్.	కాకడ్ బోరి అను ఒకరకమైన చేప పేరు.
